subject,segmentNum,deltaOBW1,deltaOBW2,deltaOBW3,deltaOBW4,deltaOBW5,deltaOBW6,deltaOBW7,deltaOBW8,deltaOBW9,deltaOBW10,deltaPobwdB1,deltaPobwdB2,deltaPobwdB3,deltaPobwdB4,deltaPobwdB5,deltaPobwdB6,deltaPobwdB7,deltaPobwdB8,deltaPobwdB9,deltaPobwdB10,deltaP3dB1,deltaP3dB2,deltaP3dB3,deltaP3dB4,deltaP3dB5,deltaP3dB6,deltaP3dB7,deltaP3dB8,deltaFCenter1,deltaFCenter2,deltaFCenter3,deltaFCenter4,deltaFCenter5,deltaFCenter6,deltaFCenter7,deltaFCenter8,deltaAmp
1.0,2.0,364.3085224373999,259.73072183282966,-29.08249642529995,-2.8725285151899698,79.26407221785303,19.70839999337204,42.782887169989976,5.835840695421041,13.98749213762099,3.460208534673498,2.888558287728099,-0.5390361233096037,2.2034420485443995,3.884320483351903,3.6655843866572013,5.1877698958705025,6.022909802688595,6.5679730078720056,7.6180601350632955,8.896157099899597,7.054893323395994,-6.220618927666493,-0.21532128858110156,4.422939943876095,2.3758047516784018,7.281696276819993,6.228942989257099,10.745520558959996,-160.4673305254205,-404.0903948867867,-117.66399817666695,-82.664909808358,-186.47277806442798,-73.42799297023399,-97.56249080367643,-11.352248050346688,2.875087
1.0,3.0,-176.30823688363944,-192.75803704656983,-64.21547973106999,-74.13821104105,70.44082874579397,12.931761518247015,-51.778130979985974,-69.58610089526101,-41.21494094058771,-4.1933119144757,1.6750611171143,1.5420650474992073,-0.44947263733800114,-0.06102399129840208,-0.3018384867502988,0.5532437187260015,-1.7961778241534958,1.6768966787197925,2.7650164162170014,1.6933643660010986,7.2478471215397064,-1.0015161706301967,-0.035040659773599714,7.260624427757801,-2.8559952224240988,6.164130943602803,-0.5995595798000082,1.8161774179983112,-1291.17831733622,521.355637568797,236.32388811033104,236.13734377336192,21.283351583288976,-33.28914493818803,-16.464675762006692,-9.196081619022912,0.7959650000000007
1.0,4.0,35.1846911058301,-273.2071933637799,160.4053830498599,75.90401858664995,-159.12749062388605,-86.41973183447908,125.25326905832202,93.10501540068,38.312503857632706,-11.0282503579052,-4.908118975632799,1.197569765977697,-0.4760052236104997,-1.7477315852842992,0.7599870113698017,-0.9797467272743994,1.3706249286331982,-4.280433801351599,-4.411242653716897,-8.857102590890499,-6.518169750777403,7.189134032959188,4.4593659095624005,-9.3571786919542,8.858396671752192,-8.1088857371487,0.2558799689901079,-4.9781422963886115,-13.635349210849881,-542.323608915925,-466.95414396755706,-465.7951433155889,-91.290259444984,-39.277363345286986,-12.855809442297897,-3.597568201823897,-0.3340310000000004
1.0,5.0,158.77715639850885,264.8846538750704,-258.7821684021699,-6.576921629949993,-10.624216966236872,-52.60019392561401,-141.67621270280398,-81.027244311423,-34.14958046383708,-2.9058211958798026,-1.1165715902716968,-2.8689364133227,-0.10170054066679768,-0.3328998990557004,-2.0458009304530016,-1.2906904705311035,-4.352355564887297,-1.1564872824583006,-1.5061400204034001,0.33662493865619325,-4.361364256993305,4.390156083738308,-2.5699402874206037,2.3873751103073033,-6.673397219011495,0.9099531666081973,-6.3484824302541085,-4.013384780481502,1894.2541697527702,-0.3218252775139945,-4.087920442724965,15.925487180304998,1.882318585199016,-46.774120583527996,-6.405494332188297,0.7044753062476019,-0.6498490000000006
1.0,6.0,-100.9206213742691,-281.22327171470033,-63.47334624643008,-122.08491717521895,-37.21819347187602,13.956456016090044,-4.88782525300104,-36.641545209051,-21.16730219369441,-10.799246353225797,1.1880506617291964,2.0741686982145,-0.5296878877203,-0.4078087828033041,-1.8200780351832009,-0.2808252730483005,1.9882365017882009,0.8936063827878016,-0.7770209397372057,-2.4189374735612006,0.27608494176860887,-4.162398152142,-0.33673441060879483,-1.0786562706587048,-1.3330252230801065,-1.623576732101597,3.6002624144318105,5.464958285597902,-580.6832592401097,14.971932423316048,1.7780190367399769,-7.1308163607930055,-39.885532579618,2.4876202675753945,-13.459179986535805,-12.373452924924301,-0.3251469999999994
1.0,7.0,-98.17823121907986,300.13668295562,3.5632297936201667,123.93288174713882,75.03011443853097,45.66634566743096,62.46047546909301,48.36807095955399,25.526542348444593,20.1034438861587,0.5094865499521966,-1.3282461170594004,2.384462557975297,1.8708574893482037,3.022417614860501,-0.9723613089545005,-1.716288807794598,0.06278756824799814,0.5947285027483105,4.625345926385805,1.841724645441893,-3.1267845517624053,9.582575060594895,7.4846331825703025,6.029380437037805,-1.1271052468527998,-2.1302161406685016,-1.2459719784114967,-5.764079583830153,-21.460433124834026,215.84124988450702,209.935103960366,107.78472228390498,84.24168990994661,43.9070071325082,34.7487543892982,1.3348199999999997
1.0,8.0,-82.70220597266962,-431.4583933375202,-129.73575298288029,-95.33525008578886,-1.1753332967299457,-3.7603806662249326,-46.53566205247404,71.95081357364799,2.9591576213859128,3.534777474280091,0.7881699197340026,2.6179148690399003,-4.895206242785399,-3.903118400161997,-4.1774406214913995,-0.9642461350285956,0.8876939443205956,-0.09794239287719364,0.150497180384896,1.1781934005063022,6.936387725514102,13.995543532134203,-7.887412803567894,-3.815808948270096,-7.885816719195201,-4.8865437770745,0.012189116253900067,-2.6376459870207967,-1379.2558224675101,20.084089204773818,17.200424237329912,9.075885169989988,3.3718920402149877,-33.56822213581101,19.10645967770381,-15.901330629383196,-1.7090289999999992
3.0,2.0,506.45152535433135,113.30431480546031,164.3109079903802,273.0781167883749,64.84092397739596,15.17938366027397,9.914201730388015,18.71543736436098,23.11141815212501,7.491515492696905,-0.7108789835250029,-0.6983605238272013,-1.1914997618530982,-1.074111688826001,2.3233403261004,3.9368352996741045,6.4388963545019,6.6106277698466975,7.3579295968411955,8.515959583178791,-7.1252556781691965,2.8268018464420024,-5.615009799920603,-1.922636957518094,6.718857316506806,2.1808819216735067,1.5607630691990977,5.563560809637593,91.44156076609988,-51.362897350658955,104.190127273862,112.66204717124398,14.815551191273585,29.221788351552405,30.314551520681803,20.3237901911427,0.4490850000000002
3.0,3.0,-297.0323475833002,157.41154453800937,-212.00479292649015,-141.25250158681092,-16.552060418819906,-9.834317928079997,60.99778370570806,62.43870214626699,45.96051966810401,30.091706814706797,1.318445050274903,-3.0314209542983974,-0.12498699502560129,-1.0344509561144974,-2.7834017038175993,-2.961056310086601,-2.929132931357902,0.6967940129282013,0.4805110068367,-5.708485646016598,4.4182648232355035,-12.030463867436502,-2.7561298383439947,-3.6299957767659095,-4.4575606083694055,-3.6019156959843066,-2.173199624251005,5.323204888645996,-62.72866323640983,32.53436860635202,-129.87034867742398,-132.76374153089097,-42.4953892936862,-38.12575379905711,-24.748380687422703,-17.293032608190103,-0.6337240000000004
3.0,4.0,137.77481110156896,212.3973530452704,78.21567760442986,-1.4327400091709706,-39.91316513285801,-38.323198913591966,-26.22773992211603,0.7834743333380345,-9.936642369132016,-6.841080609114002,-1.2212451792623042,-2.9417819041046016,1.2490608042881988,-1.1497438645520042,0.16695157243620073,0.4522608923773994,-0.5500494495455932,-3.3502845647677013,-1.7156770448537912,1.381320117078495,4.796779558821186,-5.494171777088695,7.030763888068499,-2.4509554679768897,5.3221235392013,7.862868056956405,1.7980748726488045,-5.196264988396294,-57.03659568493026,24.203936431438933,128.84147494986797,118.14242495186201,45.39867712651922,42.63106679332469,31.6002333201616,0.3945096572346003,-0.2472620000000001
